"compound_name","filename","voltage","MS2"
"(3-Carboxypropyl)trimethylammonium","210204_Std_4uMStdsMix1InH2O_pos1.mzML",20,"55.45191, 160184; 60.08158, 14927324; 68.01056, 180558; 71.45513, 178150; 72.04969, 175192; 76.77753, 174856; 77.90745, 157717; 81.50983, 161459; 84.06999, 178310; 84.3764, 156928; 87.0447, 30236340; 95.84688, 155228; 97.04347, 180646; 117.57372, 172514; 133.97784, 167692; 146.11769, 49639520"
"(3-Carboxypropyl)trimethylammonium","210204_Std_4uMStdsMix1InH2O_pos1.mzML",35,"56.20424, 171768; 60.08157, 19710736; 63.48017, 180599; 69.66771, 177239; 78.84984, 179482; 81.81953, 191978; 87.04467, 36929328; 133.27052, 180062; 144.87201, 184606; 146.11766, 55939160; 147.5833, 195485; 157.2673, 193701; 160.1774, 227119; 160.73833, 205257"
"(3-Carboxypropyl)trimethylammonium","210204_Std_4uMStdsMix1InH2O_pos1.mzML",50,"54.25168, 161652; 54.25321, 147219; 57.18233, 173470; 60.08156, 18832638; 67.96624, 170788; 72.52132, 176580; 83.04735, 162301; 87.00225, 185841; 87.04466, 52763864; 146.11766, 15947635; 148.55522, 181871; 163.69077, 165623"
"(3-Carboxypropyl)trimethylammonium","210204_Std_4uMStdsMix1InH2O_pos1.mzML",100,"52.56527, 141844; 57.04824, 117074; 57.14528, 125409; 58.06593, 1823450; 59.07364, 304725; 60.08157, 4129974; 60.26409, 126395; 65.78671, 176065; 76.0148, 130561; 87.04467, 4032073; 104.95059, 133686; 147.15491, 158446; 163.71684, 143010"
"(3-Carboxypropyl)trimethylammonium","210204_Std_4uMStdsMix1InH2O_pos2.mzML",20,"51.03034, 190464; 53.41751, 240488; 54.84582, 188018; 60.08157, 23672858; 64.13218, 197034; 76.04356, 206192; 76.40417, 206337; 87.04468, 44149844; 87.08738, 230515; 96.13311, 196824; 98.93114, 248000; 103.23907, 231719; 105.12991, 233419; 117.74195, 199400; 127.46348, 186881; 132.22305, 196700; 146.11766, 79176952; 146.21133, 221032; 159.81071, 197587"
"(3-Carboxypropyl)trimethylammonium","210204_Std_4uMStdsMix1InH2O_pos2.mzML",35,"52.93904, 163823; 55.47127, 197124; 60.08155, 20252268; 62.97775, 214827; 67.2691, 192128; 79.15636, 174627; 79.34754, 183386; 86.83092, 214725; 87.04465, 37262188; 122.58065, 220416; 146.11763, 56952612"
"(3-Carboxypropyl)trimethylammonium","210204_Std_4uMStdsMix1InH2O_pos2.mzML",50,"50.22413, 235355; 55.13492, 201192; 60.08155, 24044036; 67.02099, 240305; 75.50079, 210626; 82.53325, 218886; 86.61518, 196827; 87.04465, 63392404; 92.42857, 224719; 92.47029, 215356; 98.0407, 191162; 100.7876, 200972; 123.94985, 210393; 124.72178, 207555; 142.57454, 209642; 146.11763, 20547270"
"(3-Carboxypropyl)trimethylammonium","210204_Std_4uMStdsMix1InH2O_pos2.mzML",100,"53.01273, 152581; 57.81143, 177940; 58.06593, 2502213; 59.07375, 546734; 60.08158, 5400403; 77.59177, 186519; 85.3121, 200040; 87.04469, 6070228; 90.04463, 177080; 99.10515, 185704; 104.37876, 174666; 107.46268, 159348; 146.00706, 183381; 155.34506, 192244"
"Hydroxyisoleucine","210204_Std_4uMStdsMix1InH2O_pos1.mzML",NA,NA
"Hydroxyisoleucine","210204_Std_4uMStdsMix1InH2O_pos2.mzML",NA,NA
"Hydroxyisoleucine","210204_Std_4uMStdsMix2InH2O_pos1.mzML",20,"56.68076, 6202; 57.07059, 11811; 58.06591, 126308; 66.08028, 5608; 67.05491, 13933; 74.02433, 611380; 79.36057, 5986; 82.28131, 5998; 84.08138, 225216; 84.5308, 6603; 86.09698, 11423; 92.56516, 6005; 95.04957, 27210; 102.09179, 187069; 106.16035, 8121; 113.05996, 65406; 121.30814, 6172; 125.80656, 6042; 128.40825, 5840; 130.08107, 9785; 130.08644, 164840; 133.737, 6691; 141.78094, 6213; 148.03937, 7652; 148.08704, 49806; 148.09683, 150808; 148.11198, 15665; 51.7701, 3288; 58.27291, 3101; 62.16216, 3811; 63.96112, 3236; 70.96219, 3054; 74.02434, 7012; 76.02856, 9376; 83.27529, 3226; 84.08136, 8600; 85.63223, 3252; 85.76987, 3216; 89.15372, 3442; 91.05487, 7567; 96.19194, 3375; 102.09169, 5536; 104.01665, 3930; 105.05264, 3790; 105.07103, 3966; 106.09383, 3646; 107.53643, 4023; 108.5466, 3587; 113.12068, 3598; 119.08593, 4030; 122.03208, 4598; 122.06026, 4243; 124.07437, 3588; 132.09055, 3585; 150.02682, 73002; 150.05507, 14377; 150.0775, 385958; 150.09154, 16949; 150.10266, 41717; 150.11253, 6250; 150.12772, 14538"
"Hydroxyisoleucine","210204_Std_4uMStdsMix2InH2O_pos1.mzML",35,"57.95024, 7981; 58.0659, 157545; 60.86629, 7217; 67.0549, 13867; 71.04985, 7167; 74.02433, 641368; 76.4327, 8213; 84.08138, 224088; 86.09702, 17914; 95.04959, 27093; 102.0918, 173455; 113.06019, 45898; 117.05421, 7409; 130.08644, 159301; 138.01526, 7843; 148.0871, 37008; 148.09694, 127107; 148.11206, 18631; 150.94484, 7988; 166.67528, 9295"
"Hydroxyisoleucine","210204_Std_4uMStdsMix2InH2O_pos1.mzML",50,"55.93631, 6667; 56.14542, 7862; 56.89331, 6487; 57.07061, 26362; 58.06588, 222212; 59.14045, 6771; 67.05495, 46572; 71.8794, 7070; 74.02431, 660523; 82.35831, 6933; 84.08135, 312827; 84.08426, 15355; 85.06535, 12481; 85.0761, 6485; 86.09698, 18660; 90.71107, 8322; 95.04953, 38753; 97.18562, 6409; 102.09175, 78651; 109.09736, 7293; 113.05997, 40410; 115.35031, 6874; 116.45679, 6923; 117.23589, 6761; 130.08629, 34439; 139.97664, 8898; 148.08694, 41187; 148.09676, 22329; 148.112, 14275; 50.41428, 3088; 58.0658, 7792; 66.04945, 3894; 68.83743, 3568; 74.0242, 6085; 76.02847, 15163; 78.36465, 3341; 84.08126, 10804; 88.07632, 3791; 88.68265, 3861; 90.16364, 3379; 90.9165, 3508; 91.05462, 10194; 101.06244, 3749; 103.03914, 3876; 108.92657, 4013; 109.07634, 5773; 109.12685, 3338; 110.08418, 8618; 115.314, 3725; 122.03205, 24404; 123.09184, 3646; 123.37464, 3246; 124.07782, 4033; 132.10193, 5455; 133.05045, 3377; 133.07597, 3948; 136.16106, 3268; 144.86719, 3313; 150.02672, 49719; 150.06693, 6508; 150.07744, 157314; 150.09154, 13282; 150.10236, 20786; 150.12778, 10502; 166.35834, 3135"
"Hydroxyisoleucine","210204_Std_4uMStdsMix2InH2O_pos1.mzML",100,"54.16661, 5357; 57.07069, 25394; 58.06591, 62990; 61.03893, 4726; 63.25121, 4694; 65.0392, 13667; 65.55159, 6621; 66.12087, 4923; 67.05501, 39017; 68.75444, 5426; 72.43052, 4645; 74.02436, 68292; 80.04982, 8477; 84.08121, 20973; 126.61777, 5245; 158.29366, 5033"
"Hydroxyisoleucine","210204_Std_4uMStdsMix2InH2O_pos2.mzML",20,"52.45095, 6881; 55.13425, 6627; 57.07067, 12255; 58.06591, 133904; 58.06757, 10327; 60.18426, 7037; 61.2713, 6797; 63.13168, 6652; 66.82061, 6043; 71.04987, 8609; 74.02433, 589107; 81.77708, 6867; 84.08136, 229064; 85.06557, 10399; 86.09695, 8947; 95.04972, 22604; 102.09179, 145574; 112.07615, 8455; 112.53106, 6768; 113.06011, 49146; 129.2856, 6982; 130.08641, 148582; 137.18228, 7410; 148.08707, 29177; 148.09683, 134130; 148.11189, 15570; 148.26332, 6620"
"Hydroxyisoleucine","210204_Std_4uMStdsMix2InH2O_pos2.mzML",35,"57.07074, 10932; 57.92686, 6917; 58.0659, 150981; 65.63474, 5925; 65.78533, 6164; 66.14715, 5749; 67.05509, 16661; 74.02432, 580282; 82.10998, 6067; 84.08136, 233474; 86.09705, 15326; 95.04954, 31599; 102.0918, 179762; 113.06014, 36642; 118.48245, 7790; 130.08636, 142399; 130.59869, 7100; 146.43709, 6261; 148.08676, 20513; 148.09685, 107821; 148.1125, 15513; 154.43561, 6658; 156.78329, 6569; 162.86783, 6523"
"Hydroxyisoleucine","210204_Std_4uMStdsMix2InH2O_pos2.mzML",50,"53.22727, 3187; 57.0706, 6273; 58.06593, 46052; 63.54242, 3435; 74.02431, 115742; 80.69234, 3476; 81.15589, 3486; 84.08136, 47526; 86.09692, 3894; 95.0497, 7646; 102.09165, 10057; 112.23588, 3814; 113.06001, 6613; 121.90054, 3707; 130.08647, 8739; 148.08685, 27053; 148.11218, 12279; 58.06583, 5851; 66.04268, 4721; 71.88269, 3308; 74.02428, 6018; 76.02846, 9788; 79.72152, 2967; 80.79053, 3281; 84.08136, 5113; 91.05474, 7546; 94.03723, 4774; 94.04042, 7103; 109.07653, 8484; 121.02816, 4246; 122.03199, 20811; 150.02664, 44119; 150.07745, 146658; 150.09146, 10894; 150.10252, 15309; 150.12781, 8410"
"Hydroxyisoleucine","210204_Std_4uMStdsMix2InH2O_pos2.mzML",100,"57.07068, 32576; 58.0659, 68711; 61.10382, 6590; 65.03925, 13683; 67.05492, 34986; 71.46496, 6805; 72.51685, 6064; 74.0243, 53695; 84.08132, 28625; 121.10344, 6692; 130.49031, 6172; 132.57074, 5886; 140.79778, 6228; 154.33458, 5774"
"5-Methylcytosine","210204_Std_4uMStdsMix1InH2O_pos1.mzML",NA,NA
"5-Methylcytosine","210204_Std_4uMStdsMix1InH2O_pos2.mzML",NA,NA
