Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Precursor Mz
molecules1,210204_Std_4uMStdsMix1InH2O_neg1,2-Hydroxy-4-(methylthio)butyric acid,2.15,460838560,6237730,89142560,149.027242
molecules1,210204_Std_4uMStdsMix1InH2O_neg2,2-Hydroxy-4-(methylthio)butyric acid,2.16,463804832,8300435,92830176,149.027242
molecules1,210204_Std_4uMStdsMix2InH2O_neg1,2-Hydroxy-4-(methylthio)butyric acid,2.19,128791,0,177630,149.027242
molecules1,210204_Std_4uMStdsMix2InH2O_neg2,2-Hydroxy-4-(methylthio)butyric acid,2.15,187291,0,132615,149.027242
molecules1,210204_Std_4uMStdsMix1InH2O_neg1,3-Sulfopyruvic acid,#N/A,#N/A,#N/A,#N/A,166.965037
molecules1,210204_Std_4uMStdsMix1InH2O_neg2,3-Sulfopyruvic acid,#N/A,#N/A,#N/A,#N/A,166.965037
molecules1,210204_Std_4uMStdsMix2InH2O_neg1,3-Sulfopyruvic acid,11.69,14853214,0,423067,166.965037
molecules1,210204_Std_4uMStdsMix2InH2O_neg2,3-Sulfopyruvic acid,11.7,14991083,0,461684,166.965037
molecules1,210204_Std_4uMStdsMix1InH2O_neg1,N-Acetyl-L-glutamic acid,8.68,308063968,0,14575342,188.055899
molecules1,210204_Std_4uMStdsMix1InH2O_neg2,N-Acetyl-L-glutamic acid,8.71,367963520,0,17570676,188.055899
molecules1,210204_Std_4uMStdsMix2InH2O_neg1,N-Acetyl-L-glutamic acid,#N/A,#N/A,#N/A,#N/A,188.055899
molecules1,210204_Std_4uMStdsMix2InH2O_neg2,N-Acetyl-L-glutamic acid,#N/A,#N/A,#N/A,#N/A,188.055899
molecules1,210204_Std_4uMStdsMix1InH2O_neg1,Acetylglycine,3.51,117912400,0,2566319,116.034769
molecules1,210204_Std_4uMStdsMix1InH2O_neg2,Acetylglycine,3.62,119087888,0,2560943,116.034769
molecules1,210204_Std_4uMStdsMix2InH2O_neg1,Acetylglycine,7.35,76439,0,160223,116.034769
molecules1,210204_Std_4uMStdsMix2InH2O_neg2,Acetylglycine,#N/A,#N/A,#N/A,#N/A,116.034769
molecules1,210204_Std_4uMStdsMix1InH2O_neg1,cis-Aconitic acid,12.96,365673760,0,15183896,173.008615
molecules1,210204_Std_4uMStdsMix1InH2O_neg2,cis-Aconitic acid,12.94,384592640,0,15892540,173.008615
molecules1,210204_Std_4uMStdsMix2InH2O_neg1,cis-Aconitic acid,#N/A,#N/A,#N/A,#N/A,173.008615
molecules1,210204_Std_4uMStdsMix2InH2O_neg2,cis-Aconitic acid,#N/A,#N/A,#N/A,#N/A,173.008615
molecules1,210204_Std_4uMStdsMix1InH2O_neg1,Adenosine diphosphate,12.09,13481,0,46521,426.021596
molecules1,210204_Std_4uMStdsMix1InH2O_neg2,Adenosine diphosphate,12.68,15669,0,37770,426.021596
molecules1,210204_Std_4uMStdsMix2InH2O_neg1,Adenosine diphosphate,11.7,26320162,0,509370,426.021596
molecules1,210204_Std_4uMStdsMix2InH2O_neg2,Adenosine diphosphate,11.47,30137130,0,482471,426.021596
molecules1,210204_Std_4uMStdsMix1InH2O_neg1,Allopurinol,#N/A,#N/A,#N/A,#N/A,135.030686
molecules1,210204_Std_4uMStdsMix1InH2O_neg2,Allopurinol,#N/A,#N/A,#N/A,#N/A,135.030686
molecules1,210204_Std_4uMStdsMix2InH2O_neg1,Allopurinol,4.6,114606080,0,6546286,135.030686
molecules1,210204_Std_4uMStdsMix2InH2O_neg2,Allopurinol,4.61,111772008,0,5977758,135.030686
molecules1,210204_Std_4uMStdsMix1InH2O_neg1,Amino Propanesulfonic Acid,#N/A,#N/A,#N/A,#N/A,138.022491
molecules1,210204_Std_4uMStdsMix1InH2O_neg2,Amino Propanesulfonic Acid,#N/A,#N/A,#N/A,#N/A,138.022491
molecules1,210204_Std_4uMStdsMix2InH2O_neg1,Amino Propanesulfonic Acid,10.85,78719288,0,4559826,138.022491
molecules1,210204_Std_4uMStdsMix2InH2O_neg2,Amino Propanesulfonic Acid,10.86,79567160,0,4620138,138.022491
molecules1,210204_Std_4uMStdsMix1InH2O_neg1,Adenosine monophosphate,#N/A,#N/A,#N/A,#N/A,346.055262
