Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Precursor Mz
molecules1,210204_Std_4uMStdsMix1InH2O_pos1,(3-Carboxypropyl)trimethylammonium,10.28,1600985600,17447454,133590016,146.118104
molecules1,210204_Std_4uMStdsMix1InH2O_pos2,(3-Carboxypropyl)trimethylammonium,10.29,1875196032,19750406,150248496,146.118104
molecules1,210204_Std_4uMStdsMix2InH2O_pos1,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,146.118104
molecules1,210204_Std_4uMStdsMix2InH2O_pos2,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,146.118104
molecules1,210204_Std_4uMStdsMix1InH2O_pos1,Hydroxyisoleucine,8.59,13534,0,29023,148.097369
molecules1,210204_Std_4uMStdsMix1InH2O_pos2,Hydroxyisoleucine,8.13,14996,0,52206,148.097369
molecules1,210204_Std_4uMStdsMix2InH2O_pos1,Hydroxyisoleucine,7.48,104203624,14017188,5756192,148.097369
molecules1,210204_Std_4uMStdsMix2InH2O_pos2,Hydroxyisoleucine,7.48,92125160,10688677,5205269,148.097369
molecules1,210204_Std_4uMStdsMix1InH2O_pos1,5-Methylcytosine,5.53,61138,0,68153,126.066737
molecules1,210204_Std_4uMStdsMix1InH2O_pos2,5-Methylcytosine,5.88,120283,0,48994,126.066737
molecules1,210204_Std_4uMStdsMix2InH2O_pos1,5-Methylcytosine,6.19,1305620352,12879948,56374280,126.066737
molecules1,210204_Std_4uMStdsMix2InH2O_pos2,5-Methylcytosine,6.2,1206036224,12150621,51945768,126.066737
molecules1,210204_Std_4uMStdsMix1InH2O_pos1,N6-Methyladenine,3.94,35927,0,23760,150.07797
molecules1,210204_Std_4uMStdsMix1InH2O_pos2,N6-Methyladenine,3.96,8211,0,15617,150.07797
molecules1,210204_Std_4uMStdsMix2InH2O_pos1,N6-Methyladenine,3.94,2090486400,23000120,100845888,150.07797
molecules1,210204_Std_4uMStdsMix2InH2O_pos2,N6-Methyladenine,3.95,1852836480,16913824,92603288,150.07797
molecules1,210204_Std_4uMStdsMix1InH2O_pos1,Acetylcholine,13.31,126634,173831,45487,146.118104
molecules1,210204_Std_4uMStdsMix1InH2O_pos2,Acetylcholine,13.3,459014,497471,102124,146.118104
molecules1,210204_Std_4uMStdsMix2InH2O_pos1,Acetylcholine,13.81,962672320,13037565,45726512,146.118104
molecules1,210204_Std_4uMStdsMix2InH2O_pos2,Acetylcholine,13.83,779311552,9551797,36328904,146.118104
molecules1,210204_Std_4uMStdsMix1InH2O_pos1,O-Acetylcarnitine,8.06,3035376128,33667492,174836720,204.123584
molecules1,210204_Std_4uMStdsMix1InH2O_pos2,O-Acetylcarnitine,8.08,3224355072,39376888,181985056,204.123584
molecules1,210204_Std_4uMStdsMix2InH2O_pos1,O-Acetylcarnitine,7.22,7314,0,32345,204.123584
molecules1,210204_Std_4uMStdsMix2InH2O_pos2,O-Acetylcarnitine,7.82,69199,0,74684,204.123584
molecules1,210204_Std_4uMStdsMix1InH2O_pos1,Adenine,5.28,1544722304,22269780,65803208,136.06232
molecules1,210204_Std_4uMStdsMix1InH2O_pos2,Adenine,5.29,1467891840,22941616,62370408,136.06232
molecules1,210204_Std_4uMStdsMix2InH2O_pos1,Adenine,4.25,580330432,19310732,22696204,136.06232
molecules1,210204_Std_4uMStdsMix2InH2O_pos2,Adenine,4.33,481301824,17882254,19324856,136.06232
molecules1,210204_Std_4uMStdsMix1InH2O_pos1,Adenosine,#N/A,#N/A,#N/A,#N/A,268.10458
molecules1,210204_Std_4uMStdsMix1InH2O_pos2,Adenosine,#N/A,#N/A,#N/A,#N/A,268.10458
molecules1,210204_Std_4uMStdsMix2InH2O_pos1,Adenosine,5.21,1099859840,14351238,37699704,268.10458
molecules1,210204_Std_4uMStdsMix2InH2O_pos2,Adenosine,5.21,1024049984,14420678,36353992,268.10458
molecules1,210204_Std_4uMStdsMix1InH2O_pos1,L-Alanine,10.43,25111690,0,1271604,90.055504
molecules1,210204_Std_4uMStdsMix1InH2O_pos2,L-Alanine,10.47,25834376,0,1260459,90.055504
molecules1,210204_Std_4uMStdsMix2InH2O_pos1,L-Alanine,10.74,34353,322296,22632,90.055504
molecules1,210204_Std_4uMStdsMix2InH2O_pos2,L-Alanine,10.78,98546,330260,163585,90.055504
molecules1,210204_Std_4uMStdsMix1InH2O_pos1,4-Aminobutyric acid,11.65,148549264,38223412,10940986,104.071154
molecules1,210204_Std_4uMStdsMix1InH2O_pos2,4-Aminobutyric acid,11.7,156710256,30261704,11240236,104.071154
molecules1,210204_Std_4uMStdsMix2InH2O_pos1,4-Aminobutyric acid,10.5,23831966,40287380,862278,104.071154
molecules1,210204_Std_4uMStdsMix2InH2O_pos2,4-Aminobutyric acid,10.78,20828798,30739062,882406,104.071154
molecules1,210204_Std_4uMStdsMix1InH2O_pos1,Anserine,#N/A,#N/A,#N/A,#N/A,241.130066
molecules1,210204_Std_4uMStdsMix1InH2O_pos2,Anserine,#N/A,#N/A,#N/A,#N/A,241.130066
molecules1,210204_Std_4uMStdsMix2InH2O_pos1,Anserine,9.36,214086592,0,8962384,241.130066
molecules1,210204_Std_4uMStdsMix2InH2O_pos2,Anserine,9.38,208517136,0,8923133,241.130066
molecules1,210204_Std_4uMStdsMix1InH2O_pos1,L-Arginine,19.89,109786552,0,2598683,175.119501
molecules1,210204_Std_4uMStdsMix1InH2O_pos2,L-Arginine,20.04,118235200,0,2834455,175.119501
molecules1,210204_Std_4uMStdsMix2InH2O_pos1,L-Arginine,#N/A,#N/A,#N/A,#N/A,175.119501
molecules1,210204_Std_4uMStdsMix2InH2O_pos2,L-Arginine,#N/A,#N/A,#N/A,#N/A,175.119501
