Compound.Name,Level,Classification
2-Hydroxy-4-methylthiobutyric_acid,kingdom,Organic_compounds
2-Hydroxy-4-methylthiobutyric_acid,superclass,Lipids_and_lipid-like_molecules
2-Hydroxy-4-methylthiobutyric_acid,class,Fatty_Acyls
2-Hydroxy-4-methylthiobutyric_acid,subclass,Fatty_acids_and_conjugates
2-Hydroxy-4-methylthiobutyric_acid,level 5,Thia_fatty_acids
2-Hydroxy-4-methylthiobutyric_acid,level 6,Thia_fatty_acids
2-Hydroxy-4-methylthiobutyric_acid,level 7,Thia_fatty_acids
2-Hydroxy-4-methylthiobutyric_acid,level 8,Thia_fatty_acids
3-Sulfopyruvic_acid,kingdom,Organic_compounds
3-Sulfopyruvic_acid,superclass,Organic_acids_and_derivatives
3-Sulfopyruvic_acid,class,Keto_acids_and_derivatives
3-Sulfopyruvic_acid,subclass,Alpha-keto_acids_and_derivatives
3-Sulfopyruvic_acid,level 5,Alpha-keto_acids_and_derivatives
3-Sulfopyruvic_acid,level 6,Alpha-keto_acids_and_derivatives
3-Sulfopyruvic_acid,level 7,Alpha-keto_acids_and_derivatives
3-Sulfopyruvic_acid,level 8,Alpha-keto_acids_and_derivatives
Acetoacetyl-CoA,kingdom,Organic_compounds
Acetoacetyl-CoA,superclass,Lipids_and_lipid-like_molecules
Acetoacetyl-CoA,class,Fatty_Acyls
Acetoacetyl-CoA,subclass,Fatty_acyl_thioesters
Acetoacetyl-CoA,level 5,Acyl_CoAs
Acetoacetyl-CoA,level 6,3-oxo-acyl_CoAs
Acetoacetyl-CoA,level 7,3-oxo-acyl_CoAs
Acetoacetyl-CoA,level 8,3-oxo-acyl_CoAs
Acetyl-CoA,kingdom,Organic_compounds
Acetyl-CoA,superclass,Lipids_and_lipid-like_molecules
Acetyl-CoA,class,Fatty_Acyls
Acetyl-CoA,subclass,Fatty_acyl_thioesters
Acetyl-CoA,level 5,Acyl_CoAs
Acetyl-CoA,level 6,Acyl_CoAs
Acetyl-CoA,level 7,Acyl_CoAs
Acetyl-CoA,level 8,Acyl_CoAs
O-Acetylcarnitine,kingdom,Organic_compounds
O-Acetylcarnitine,superclass,Lipids_and_lipid-like_molecules
O-Acetylcarnitine,class,Fatty_Acyls
O-Acetylcarnitine,subclass,Fatty_acid_esters
O-Acetylcarnitine,level 5,Acyl_carnitines
O-Acetylcarnitine,level 6,Acyl_carnitines
O-Acetylcarnitine,level 7,Acyl_carnitines
O-Acetylcarnitine,level 8,Acyl_carnitines
cis-Aconitic_acid,kingdom,Organic_compounds
cis-Aconitic_acid,superclass,Organic_acids_and_derivatives
cis-Aconitic_acid,class,Carboxylic_acids_and_derivatives
cis-Aconitic_acid,subclass,Tricarboxylic_acids_and_derivatives
cis-Aconitic_acid,level 5,Tricarboxylic_acids_and_derivatives
cis-Aconitic_acid,level 6,Tricarboxylic_acids_and_derivatives
cis-Aconitic_acid,level 7,Tricarboxylic_acids_and_derivatives
cis-Aconitic_acid,level 8,Tricarboxylic_acids_and_derivatives
Adenine,kingdom,Organic_compounds
Adenine,superclass,Organoheterocyclic_compounds
Adenine,class,Imidazopyrimidines
Adenine,subclass,Purines_and_purine_derivatives
Adenine,level 5,6-aminopurines
Adenine,level 6,6-aminopurines
Adenine,level 7,6-aminopurines
Adenine,level 8,6-aminopurines
Adenosine,kingdom,Organic_compounds
Adenosine,superclass,Nucleosides_nucleotides_and_analogues
Adenosine,class,Purine_nucleosides
Adenosine,subclass,Purine_nucleosides
Adenosine,level 5,Purine_nucleosides
Adenosine,level 6,Purine_nucleosides
Adenosine,level 7,Purine_nucleosides
Adenosine,level 8,Purine_nucleosides
S-Adenosylhomocysteine,kingdom,Organic_compounds
S-Adenosylhomocysteine,superclass,Nucleosides_nucleotides_and_analogues
S-Adenosylhomocysteine,class,5-deoxyribonucleosides
S-Adenosylhomocysteine,subclass,5-deoxy-5-thionucleosides
S-Adenosylhomocysteine,level 5,5-deoxy-5-thionucleosides
S-Adenosylhomocysteine,level 6,5-deoxy-5-thionucleosides
S-Adenosylhomocysteine,level 7,5-deoxy-5-thionucleosides
S-Adenosylhomocysteine,level 8,5-deoxy-5-thionucleosides
S-Adenosylmethionine,kingdom,Organic_compounds
S-Adenosylmethionine,superclass,Nucleosides_nucleotides_and_analogues
S-Adenosylmethionine,class,5-deoxyribonucleosides
S-Adenosylmethionine,subclass,5-deoxy-5-thionucleosides
S-Adenosylmethionine,level 5,5-deoxy-5-thionucleosides
S-Adenosylmethionine,level 6,5-deoxy-5-thionucleosides
S-Adenosylmethionine,level 7,5-deoxy-5-thionucleosides
S-Adenosylmethionine,level 8,5-deoxy-5-thionucleosides
Adenosine_diphosphate,kingdom,Organic_compounds
Adenosine_diphosphate,superclass,Nucleosides_nucleotides_and_analogues
Adenosine_diphosphate,class,Purine_nucleotides
Adenosine_diphosphate,subclass,Purine_ribonucleotides
Adenosine_diphosphate,level 5,Purine_ribonucleoside_diphosphates
Adenosine_diphosphate,level 6,Purine_ribonucleoside_diphosphates
Adenosine_diphosphate,level 7,Purine_ribonucleoside_diphosphates
Adenosine_diphosphate,level 8,Purine_ribonucleoside_diphosphates
L-Alanine,kingdom,Organic_compounds
L-Alanine,superclass,Organic_acids_and_derivatives
L-Alanine,class,Carboxylic_acids_and_derivatives
L-Alanine,subclass,Amino_acids_peptides_and_analogues
L-Alanine,level 5,Amino_acids_and_derivatives
L-Alanine,level 6,Alpha_amino_acids_and_derivatives
L-Alanine,level 7,Alanine_and_derivatives
L-Alanine,level 8,Alanine_and_derivatives
Amino_Propanesulfonic_Acid,kingdom,Organic_compounds
Amino_Propanesulfonic_Acid,superclass,Organic_acids_and_derivatives
Amino_Propanesulfonic_Acid,class,Organic_sulfonic_acids_and_derivatives
Amino_Propanesulfonic_Acid,subclass,Organosulfonic_acids_and_derivatives
Amino_Propanesulfonic_Acid,level 5,Organosulfonic_acids
Amino_Propanesulfonic_Acid,level 6,Organosulfonic_acids
Amino_Propanesulfonic_Acid,level 7,Organosulfonic_acids
Amino_Propanesulfonic_Acid,level 8,Organosulfonic_acids
4-Aminobutyric_acid,kingdom,Organic_compounds
4-Aminobutyric_acid,superclass,Organic_acids_and_derivatives
4-Aminobutyric_acid,class,Carboxylic_acids_and_derivatives
4-Aminobutyric_acid,subclass,Amino_acids_peptides_and_analogues
4-Aminobutyric_acid,level 5,Amino_acids_and_derivatives
4-Aminobutyric_acid,level 6,Gamma_amino_acids_and_derivatives
4-Aminobutyric_acid,level 7,Gamma_amino_acids_and_derivatives
4-Aminobutyric_acid,level 8,Gamma_amino_acids_and_derivatives
Adenosine_monophosphate,kingdom,Organic_compounds
Adenosine_monophosphate,superclass,Nucleosides_nucleotides_and_analogues
Adenosine_monophosphate,class,Purine_nucleotides
Adenosine_monophosphate,subclass,Purine_ribonucleotides
Adenosine_monophosphate,level 5,Purine_ribonucleoside_monophosphates
Adenosine_monophosphate,level 6,Purine_ribonucleoside_monophosphates
Adenosine_monophosphate,level 7,Purine_ribonucleoside_monophosphates
Adenosine_monophosphate,level 8,Purine_ribonucleoside_monophosphates
L-Arginine,kingdom,Organic_compounds
L-Arginine,superclass,Organic_acids_and_derivatives
L-Arginine,class,Carboxylic_acids_and_derivatives
L-Arginine,subclass,Amino_acids_peptides_and_analogues
L-Arginine,level 5,Amino_acids_and_derivatives
L-Arginine,level 6,Alpha_amino_acids_and_derivatives
L-Arginine,level 7,Alpha_amino_acids
L-Arginine,level 8,L-alpha-amino_acids
L-Arginosuccinic_acid,kingdom,Organic_compounds
L-Arginosuccinic_acid,superclass,Organic_acids_and_derivatives
L-Arginosuccinic_acid,class,Carboxylic_acids_and_derivatives
L-Arginosuccinic_acid,subclass,Amino_acids_peptides_and_analogues
L-Arginosuccinic_acid,level 5,Amino_acids_and_derivatives
L-Arginosuccinic_acid,level 6,Alpha_amino_acids_and_derivatives
L-Arginosuccinic_acid,level 7,Aspartic_acid_and_derivatives
L-Arginosuccinic_acid,level 8,Aspartic_acid_and_derivatives
L-Asparagine,kingdom,Organic_compounds
L-Asparagine,superclass,Organic_acids_and_derivatives
L-Asparagine,class,Carboxylic_acids_and_derivatives
L-Asparagine,subclass,Amino_acids_peptides_and_analogues
L-Asparagine,level 5,Amino_acids_and_derivatives
L-Asparagine,level 6,Alpha_amino_acids_and_derivatives
L-Asparagine,level 7,Asparagine_and_derivatives
L-Asparagine,level 8,Asparagine_and_derivatives
L-Aspartic_acid,kingdom,Organic_compounds
L-Aspartic_acid,superclass,Organic_acids_and_derivatives
L-Aspartic_acid,class,Carboxylic_acids_and_derivatives
L-Aspartic_acid,subclass,Amino_acids_peptides_and_analogues
L-Aspartic_acid,level 5,Amino_acids_and_derivatives
L-Aspartic_acid,level 6,Alpha_amino_acids_and_derivatives
L-Aspartic_acid,level 7,Aspartic_acid_and_derivatives
L-Aspartic_acid,level 8,Aspartic_acid_and_derivatives
Adenosine_triphosphate,kingdom,Organic_compounds
Adenosine_triphosphate,superclass,Nucleosides_nucleotides_and_analogues
Adenosine_triphosphate,class,Purine_nucleotides
Adenosine_triphosphate,subclass,Purine_ribonucleotides
Adenosine_triphosphate,level 5,Purine_ribonucleoside_triphosphates
Adenosine_triphosphate,level 6,Purine_ribonucleoside_triphosphates
Adenosine_triphosphate,level 7,Purine_ribonucleoside_triphosphates
Adenosine_triphosphate,level 8,Purine_ribonucleoside_triphosphates
Glycine_betaine,kingdom,Organic_compounds
Glycine_betaine,superclass,Organic_acids_and_derivatives
Glycine_betaine,class,Carboxylic_acids_and_derivatives
Glycine_betaine,subclass,Amino_acids_peptides_and_analogues
Glycine_betaine,level 5,Amino_acids_and_derivatives
Glycine_betaine,level 6,Alpha_amino_acids_and_derivatives
Glycine_betaine,level 7,Alpha_amino_acids
Glycine_betaine,level 8,Alpha_amino_acids
Butyrylcarnitine,kingdom,Organic_compounds
Butyrylcarnitine,superclass,Lipids_and_lipid-like_molecules
Butyrylcarnitine,class,Fatty_Acyls
Butyrylcarnitine,subclass,Fatty_acid_esters
Butyrylcarnitine,level 5,Acyl_carnitines
Butyrylcarnitine,level 6,Acyl_carnitines
Butyrylcarnitine,level 7,Acyl_carnitines
Butyrylcarnitine,level 8,Acyl_carnitines
35-Cyclic_AMP,kingdom,Organic_compounds
35-Cyclic_AMP,superclass,Nucleosides_nucleotides_and_analogues
35-Cyclic_AMP,class,Purine_nucleotides
35-Cyclic_AMP,subclass,Cyclic_purine_nucleotides
35-Cyclic_AMP,level 5,35-cyclic_purine_nucleotides
35-Cyclic_AMP,level 6,35-cyclic_purine_nucleotides
35-Cyclic_AMP,level 7,35-cyclic_purine_nucleotides
35-Cyclic_AMP,level 8,35-cyclic_purine_nucleotides
Carnitine,kingdom,Organic_compounds
Carnitine,superclass,Organic_nitrogen_compounds
Carnitine,class,Organonitrogen_compounds
