,Compound.Type,Column,Compound.Name,,IUPAC.Name,InChI.Key.Name,Canon.SMILES.Name
1,Phospholipid synthesis,RP,1-Palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,,[(2R)-3-hexadecanoyloxy-2-[(Z)-octadec-9-enoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate,WTJKGGKOPKCXLL-VYOBOKEXSA-N,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC
2,Phospholipid synthesis,RP,1-Stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,,[(2R)-3-[2-aminoethoxy(hydroxy)phosphoryl]oxy-2-[(Z)-octadec-9-enoyl]oxypropyl] octadecanoate,JQKOHRZNEOQNJE-DJEJVYNPSA-N,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCCC=CCCCCCCCC
3,PUA,RP,"2,4-Decadienal",,"(2E,4E)-deca-2,4-dienal",JZQKTMZYLHNFPL-BLHCBFLLSA-N,CCCCCC=CC=CC=O
4,PUA,RP,"2,4-Octadienal",,,,
5,Phytohormone,RP,N6-Dimethylallyladenine,,N-(3-methylbut-2-enyl)-7H-purin-6-amine,HYVABZIGRDEKCD-UHFFFAOYSA-N,CC(=CCNC1=NC=NC2=C1NC=N2)C
6,Phytohormone,RP,Indolebutyric acid,,4-(1H-indol-3-yl)butanoic acid,JTEDVYBZBROSJT-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CN2)CCCC(=O)O
7,Phytohormone,RP,3-Indolepropionic acid,,3-(1H-indol-3-yl)propanoic acid,GOLXRNDWAUTYKT-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CN2)CCC(=O)O
8,Lignin,RP,"3,4-Dihydroxybenzoic acid",,"3,4-dihydroxybenzoic acid",YQUVCSBJEUQKSH-UHFFFAOYSA-N,C1=CC(=C(C=C1C(=O)O)O)O
9,Phytohormone,RP,3-Indoleacetonitrile,,2-(1H-indol-3-yl)acetonitrile,DMCPFOBLJMLSNX-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CN2)CC#N
10,Quorum sensing,RP,N-(3-Oxodecanoyl)homoserine lactone,,,,
11,Quorum sensing,RP,N-(3-Oxododecanoyl)homoserine lactone,,3-oxo-N-(2-oxooxolan-3-yl)dodecanamide,PHSRRHGYXQCRPU-UHFFFAOYSA-N,CCCCCCCCCC(=O)CC(=O)NC1CCOC1=O
12,Quorum sensing,RP,N-(3-Oxohexanoyl)homoserine lactone,,3-oxo-N-(2-oxooxolan-3-yl)hexanamide,YRYOXRMDHALAFL-UHFFFAOYSA-N,CCCC(=O)CC(=O)NC1CCOC1=O
